	from	to	weight
0	3	101	1
1	4	52	1
2	4	126	1
3	5	116	1
4	6	51	1
5	7	219	1
6	8	111	1
7	9	111	1
8	10	193	1
9	11	325	1
10	13	175	1
11	14	23	1
12	16	126	1
13	17	100	10
14	17	141	4
15	18	236	1
16	19	15	1
17	20	17	1
18	21	82	1
19	22	183	1
20	23	150	8
21	24	246	1
22	25	126	1
23	26	106	1
24	27	28	1
25	28	77	2
26	30	126	1
27	31	183	1
28	32	137	1
29	34	17	1
30	35	81	1
31	35	193	1
32	36	69	1
33	37	51	1
34	38	325	1
35	39	97	1
36	40	23	1
37	41	52	1
38	42	90	1
39	43	205	1
40	44	17	1
41	45	111	1
42	46	82	1
43	47	116	1
44	48	228	1
45	49	17	1
46	50	73	1
47	51	307	5
48	52	307	5
49	53	56	1
50	53	221	1
51	56	225	1
52	58	52	1
53	59	116	1
54	61	78	1
55	62	245	1
56	63	219	1
57	64	219	1
58	67	116	1
59	68	52	1
60	68	126	1
61	69	245	4
62	71	206	1
63	72	73	1
64	72	82	1
65	73	222	5
66	74	17	1
67	75	246	1
68	76	78	1
69	76	90	1
70	78	77	7
71	80	332	1
72	81	57	2
73	82	222	4
74	85	17	1
75	86	116	1
76	87	23	1
77	88	148	1
78	89	23	1
79	90	92	6
80	91	175	1
81	93	97	1
82	94	97	1
83	95	111	1
84	96	78	1
85	97	29	5
86	98	246	1
87	99	142	1
88	101	209	2
89	102	111	1
90	103	12	1
91	104	12	1
92	105	126	1
93	105	320	1
94	106	77	4
95	107	103	1
96	107	104	1
97	107	237	1
98	107	239	1
99	108	194	1
100	109	205	1
101	110	206	1
102	111	57	7
103	112	224	1
104	113	48	1
105	114	51	1
106	115	116	1
107	116	141	11
108	117	116	1
109	118	124	1
110	121	246	1
111	122	241	1
112	123	126	1
113	124	243	2
114	125	73	1
115	126	225	10
116	127	116	1
117	127	221	1
118	128	106	1
119	129	246	1
120	130	220	1
121	131	17	1
122	132	193	1
123	133	206	1
124	134	237	1
125	135	17	1
126	136	206	1
127	137	204	3
128	138	193	1
129	139	106	1
130	140	79	2
131	142	176	4
132	143	51	1
133	144	240	1
134	145	205	1
135	146	241	1
136	147	126	1
137	148	83	1
138	149	326	1
139	151	52	1
140	153	212	1
141	154	17	1
142	155	219	1
143	156	23	1
144	157	73	1
145	158	241	1
146	159	116	1
147	160	137	1
148	161	185	1
149	162	80	1
150	163	325	1
151	164	153	1
152	165	84	1
153	166	325	1
154	168	331	1
155	169	192	1
156	169	242	1
157	170	78	1
158	170	112	1
159	171	246	1
160	172	325	1
161	173	193	1
162	173	195	1
163	174	65	1
164	175	208	2
165	177	210	1
166	178	17	1
167	179	219	1
168	180	17	1
169	181	193	1
170	183	243	2
171	184	55	3
172	185	55	1
173	186	219	1
174	187	69	1
175	188	111	1
176	189	241	1
177	190	23	1
178	191	100	1
179	192	332	1
180	193	207	7
181	194	152	3
182	195	207	1
183	196	207	1
184	197	219	1
185	198	210	1
186	199	97	1
187	200	210	1
188	201	219	1
189	202	219	1
190	203	124	1
191	205	307	6
192	206	33	6
193	210	212	4
194	211	78	1
195	213	220	1
196	214	237	1
197	215	193	1
198	216	97	1
199	217	116	1
200	217	221	1
201	218	241	1
202	219	15	13
203	220	55	4
204	221	141	2
205	221	226	1
206	223	228	1
207	227	226	1
208	229	90	1
209	230	222	1
210	231	246	1
211	232	106	1
212	234	219	1
213	235	239	1
214	237	119	5
215	238	70	1
216	238	119	4
217	239	12	5
218	240	66	1
219	240	120	2
220	241	54	2
221	241	314	7
222	242	332	1
223	244	142	1
224	246	60	12
225	247	19	1
226	248	237	1
227	249	78	1
228	250	137	1
229	251	205	1
230	252	165	1
231	253	194	1
232	254	28	1
233	255	23	1
234	256	238	1
235	257	325	1
236	258	90	1
237	259	240	1
238	260	90	1
239	261	191	1
240	262	322	1
241	263	241	1
242	264	325	1
243	265	246	1
244	266	246	1
245	267	140	1
246	268	142	1
247	269	51	1
248	270	184	1
249	271	142	1
250	272	69	1
251	273	17	1
252	274	126	1
253	275	81	1
254	275	111	1
255	276	241	1
256	277	101	1
257	278	69	1
258	279	140	1
259	280	90	1
260	281	227	1
261	282	196	1
262	283	78	1
263	284	206	1
264	285	219	1
265	286	246	1
266	287	205	1
267	288	325	1
268	289	238	1
269	290	237	1
270	290	239	1
271	291	241	1
272	292	194	1
273	293	184	1
274	294	239	1
275	295	325	1
276	296	246	1
277	297	17	1
278	298	219	1
279	299	325	1
280	300	82	1
281	301	240	1
282	302	223	1
283	303	238	1
284	304	239	1
285	305	325	1
286	306	219	1
287	308	210	1
288	309	238	1
289	311	18	1
290	312	73	1
291	313	238	1
292	315	220	1
293	316	205	1
294	317	246	1
295	318	325	1
296	319	241	1
297	320	245	1
298	321	62	1
299	322	167	1
300	323	184	1
301	323	220	1
302	324	206	1
303	325	182	11
304	325	233	1
305	326	310	1
306	327	174	1
307	328	126	1
308	329	17	1
309	330	23	1
310	331	100	1
311	333	230	1
312	334	116	1
313	335	337	1
314	337	337	1
